token_address,uni_pool_address,sushi_pool_address
0x106552c11272420aad5d7e94f8acab9095a6c952,0xfee4800067bfc9dff564d116cba4d4b16ca7b7b3,0x2077fb0f3e47a8e5c07063ab6d032c62817a0e4c
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,0xf232d640a5700724748464ba8bd8bed21db609a6,0xaf8fd04c0fee8ca81b6bfd6cee7c2437f5e86a21
0x9048c33c7bae0bbe9ad702b17b4453a83900d154,0x96b1071dec3158bd1c0bfc8aecf5ee969f9ca3db,0xa7a5d8ed3c97815d7dde22993efe0754bc4172c4
0x6072d37d375a40d898c3925d51ea670aa4bf5433,0xeba11845107eb74ee5fbe64a0c4e5314216d38c5,0xf8a8c2b3c40faec7a92bcaa696c1b3f0a87ad353
0xb9892f9a892f3e251fc58b9076c56add528eb8a6,0xb05f662302920c998a6372659dd09c3433026d77,0xf8ebb0fce9a62677c0ce7dfd322d8855f81d667f
0xd5147bc8e386d91cc5dbe72099dac6c9b99276f5,0x4423be2173401e96065953a3e962ba7b8fdba68a,0x9cee2ad771b57555c93f55d8babc3c8a221e3b74
0xa44e5137293e855b1b7bc7e2c6f8cd796ffcb037,0xe240496565eb09bf4402732872ea4d76c0c1af05,0x209e2f044bd334c53451900c576ab18e8cea9b16
0xeb8eec5a2dbf6e6f4cc542ad31cce706f8f80419,0xf037ad49812186ccaf84ee0d4136de32ecdd9616,0xb6f10abe3e95f02062c75d01046641b88adbf3e0
0xd5cd84d6f044abe314ee7e414d37cae8773ef9d3,0x6db4a71b453880506bc09dc02920d9659aef6184,0x986627db5e4aae987f580feb63d475992e5ac0ae
0x8185bc4757572da2a610f887561c32298f1a5748,0xdc3f6f4c00b55f56d5ef6293b762c6483af24a82,0xd9f3a5a0e7499149538cdee8b804a5ac4f4944fc
0x1bbf25e71ec48b84d773809b4ba55b6f4be946fb,0x7fdeb46b3a0916630f36e886d675602b1007fcbb,0xc5439474166c2d8a41b9d4e47786bd7030b33ed6
0xa67e83917b438e11a58f119a2bd9cc5daab86041,0xa89ece50ee510c07a8a82fa11580672519203ea1,0x4b3d33521a977ca690d845c0327c41c05401f7bd
0x07150e919b4de5fd6a63de1f9384828396f25fdc,0xde5b7ff5b10cc5f8c95a2e2b643e3abf5179c987,0xd8b8b575c943f3d63638c9563b464d204ed8b710
0x0c7d5ae016f806603cb1782bea29ac69471cab9c,0x01688e1a356c38a8ed7c565bf6c6bfd59543a560,0x281df7fc89294c84afa2a21ffee8f6807f9c9226
0xaf9700fca16276cd69c4e35feecc66d1116826cc,0xe509dc4b2b81c95ac4c39089fcfd62e750ffed22,0xd5f9fed136a212bf61446b83d88636278f04004f
0xba5bde662c17e2adff1075610382b9b691296350,0x496ab075f43991dd794baf982dc3d9817a49b33a,0x24e2adf50c49633039757ab08bff489b7c5bd6b2
0xbd2f0cd039e0bfcf88901c98c0bfac5ab27566e3,0x9127ecda2976c0476c434c1cf8a472d7b86cdc0a,0xcb0e9b07226f468374024873862f95dad3a2fc31
0xfec0cf7fe078a500abf15f1284958f22049c2c7e,0xdd12a99c454050ba8e2816e5928c08bd5f02df78,0x44d475e57cb9f53ec068a583e826434b1dd15d48
0x9196e18bc349b1f64bc08784eae259525329a1ad,0xac336936f2f0c2ab0c8dece3a027445323e8a244,0x18891fc0ed41cc8ad00607feae0f86b8c03f515b
0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0xa040832b1e5026da6dc843e6773a9e4d02fff9b1,0x0c365789dbbb94a29f8720dc465554c587e897db
0x22fe5bcada4e30a7310efb1dff7f90168dc42b62,0x0221fb549d63212c40aaa6e7fb491c66c5f78e1a,0x1138e39f8838ebaf63dec72263ffec55c5cd0626
0x35bd8472ed2da9eed980e49b8b92ccbcf625adbd,0xf55d21ba361477c3ecf98cf69949bb11db7dcd38,0x856d58dde027de7f33e78ee56ce25268f6ca803a
