token_address,v3_pool,v2_pool,weth_token0
0x16484d73ac08d2355f466d448d2b79d2039f6ebb,0x640784681a4fdf860f9f266bd4c063fc2efc216e,0xafd88ed9906ef1c7d46189314452aa4b3d665b8e,false
0xe1b583dc66e0a24fd9af2dc665f6f5e48978e106,0xa497e3d00adedc8886f644ee6c03c3f2ee67d0e3,0x3f888099223bf16fa69bb35a046be5bd0425411f,true
0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,0x334472fb2ef60f03a795db93ee7ebcf5fe4250fb,0x6033368e4a402605294c91cf5c03d72bd96e7d8d,false
0x9d1c76a5ef952fffc3e537aec365c29a13ebc933,0x194812b683345540813d28d2cf36911dbc5309c1,0xbed9fa72d6cbc4b6b648be343cefbaa502772e47,false
0x0936cc58247b6d68cc5d42fe792f793cdcf44af5,0xe9b2b96790b909b8f1f933856c118ecefb823312,0xd838ddff7a267c737c42ebc9a0131e3fe5876c8f,false
0xeeffa849c136b29203ba870ad2a235b7716afd5a,0xa9db289f790548360ee19e67a511307eda970cfd,0xcbb9d8c55bd21781ad45bcd7282cda5633c58a07,true
0x33f391f4c4fe802b70b77ae37670037a92114a7c,0x4f7a6b3587a9abf80cd5489f3e753d46aaa51ec9,0x68a5ff743041e533034071b2a0f34d771b13352a,false
0x547b2c22fcedd08f998e4607421e994e9ff21472,0xb05fdc62a7f8bbbe2d24015cd2d41e50199a1419,0xe50309e9232afa1c19df152d5ec7e39af4460348,false
0xba7970f10d9f0531941dced1dda7ef3016b24e5b,0xc00c5977395664267c118d71569dccf4bc37bf5f,0x998af3994e475edd97328af979fd62d0d160ba4e,false
0x6f40d4a6237c257fff2db00fa0510deeecd303eb,0xcba27c8e7115b4eb50aa14999bc0866674a96ecb,0x6e04a3deb92463241983121fe278f7492aaad697,false
0xdd9b84f8b435f09baf02cccd746822bb293c3284,0xdcaf5ff458dfeffdb8fbfe228c3b8656af445c01,0x50f92fbe951e8fdd259886fde5497896067f237b,true
0x8e870d67f660d95d5be530380d0ec0bd388289e1,0xd83d78108dd0d1dffff11ea3f99871671a52488b,0x598e7a017dace2534bc3f7496124c89425b1e165,false
0x90d1322a1bc024dba2d2717b087fc1d67baac09c,0x974f7ddf508b2ca7a23e4749980600fd1b9d9bf8,0x1f67cfa3bbe140ccd785575c0fcc7372cf852ade,false
0x4bce5d691ff79126f2a724aaac3b58fc5a31ea0e,0x0cde33d8efe6f70cb96cdac6b21762d30eeee3fe,0xd2878cd2e14280375cabfc7bc1823b95d0e6e692,false
0xf36c5f04127f7470834ed6f98bddc1be62aba48d,0x3f368063136b5a46d19b6aec43cc97c97043c749,0x3d5f3b3bb9b23c5bf1154091009d8465ae4d85ab,true
0x1f03e4d18a4b673cfbffb794b3738df3a1858d05,0xf63656d49b685143875cfaa3ef3f56974304dfaf,0x366f60f3aa9c8a1cc90597295275852dfdb686d0,false
0xfea300256736dc102f63552303a5b0995b15f79e,0xdb8bdac1fbd80b8681fde7efe237a7f9a32112bb,0x23276e645ed22165689c21f0646cd6ef2d3f4c98,true
0x23894dc9da6c94ecb439911caf7d337746575a72,0x3ddf8f1aa0595bd7e78513fd998a8321cee70832,0xc3c41a58e33e5daa13c59d73a96de4ea447823f8,false
0x6bc08509b36a98e829dffad49fde5e412645d0a3,0x666ed8c2151f00e7e58b4d941f65a9df68d2245b,0x49beceab926b596db91512d4046131f01d3df9af,false
0x97e6e31afb2d93d437301e006d9da714616766a5,0xd353ceeed25ccfa6d46c229857448f15423a1bfa,0xa8cf003381634ba9db58c824e68a95c2d8d0aa47,false
0xfa3e941d1f6b7b10ed84a0c211bfa8aee907965e,0x69aec395b6d222fbba43258a01d6e9e729f4744e,0xce407cd7b95b39d3b4d53065e711e713dd5c5999,true
0x64237de2a291be08b77bbd57dd186daecd4c64c0,0x540f98bceffdf6b702c48f466e0a75bfd68af1ef,0x60ec3189b353a4d3c703aa8ec3cdd6a8ff8c4db8,false
0xde609a09d2cebaa7d06e26ea6f4f1f721045d023,0xc1ed60537eeefb33dcb959c18b7446d10ba104fc,0xa40cd67357e9cf0347f7f637f22abd8c9356c2b7,true
0x3a856d4effa670c54585a5d523e96513e148e95d,0x3e87d4c24fb56c52a0dbd089a6219b7086d577d8,0xf3f667b097b271604e47f99015a00625b8fe9a59,false
0x8ce035b031e9207b86b30215cfa2bf38a9bb768b,0x2866d63fc16ff8b3fc77a0b23a6d280fd15a3c52,0xe5f197eb1ebfd7b28389124aabed5e37f8f2113b,false
0x3431f91b3a388115f00c5ba9fdb899851d005fb5,0x397c344e972413d7be18505b0734df648dfc3182,0x5b6be21c4d1f2c1c5a3d6af3599f3bb0a785ae2f,false
0xcfef8857e9c80e3440a823971420f7fa5f62f020,0xe4c7654ca33b07ffd91a37a3e9878a21ad601821,0x8aa5124e382cc874c3a53ee401b5464c0a0016d2,true
0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,0x6182510557c1b4fc063d05aa9799e38535516eba,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,true
0x5adc961d6ac3f7062d2ea45fefb8d8167d44b190,0x135422b7527dfd9746e3bf7a613a7e437547d122,0xc0cb62f0b5c9574cc88907dc0712f27b4a6a60c1,false
0x970b9bb2c0444f5e81e9d0efb84c8ccdcdcaf84d,0x9127c5c988917b879b3b9bc87d11ee2c9bdeda73,0x4ce3687fed17e19324f23e305593ab13bbd55c4d,false
0xd7efb00d12c2c13131fd319336fdf952525da2af,0x06f171de64205e4dd881c49d57e6e4ada7c37726,0x89635f792f4cfe2499eb1bbdba99e5d162e427fa,true
0xd01ef7c0a5d8c432fc2d1a85c66cf2327362e5c6,0xabd57587522f6fa7d6d77aaab8a22afbfafa015a,0x8cc02fc0548d970d88db5b34b02a39f3d6c184eb,true
0xd794dd1cada4cf79c9eebaab8327a1b0507ef7d4,0xc05bdd0c4b0d37b84207522bcc998eedc9deecee,0xbbcd9986304fe340870f4816c614ba0c7a53512e,true
0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,0x06b1655b9d560de112759b4f0bf57d6f005e72fe,0xa3509a16bbfc5992eb01cc861b615ccd8e937da8,true
0x5a4d2d030cb8dd875cbdf07b501976a3b72dce23,0xa63add9af89502b9a9657ad5ef1823fec2e7c72c,0xb92d0f7e07f8d264be6bd7e279e88b0e0ba5594f,false
0x7449c93abe66457e83b3799bcf1a99e92d58a93b,0x3e89088b03240cd521fef02446292cd885ef2978,0x15fa5c9c297f9e442a501cdee92e9ff39071cf62,false
0x859f905b00f6a9d4cdc3cd02887aacbd10a2aaff,0xdb470401f9c6030e42ac002142246c2212676a91,0xf9201b34248f0d3e607513a91f13b295c653cea6,false
0x1e4746dc744503b53b4a082cb3607b169a289090,0xced9dbedd866d0accea7c52024fd9faf13390cbd,0x4acfb448c585f6e1e8f2ab2bd415f399bd1b8e09,false
0x41c21693e60fc1a5dbb7c50e54e7a6016aa44c99,0xd3b113f917de869be3e76ee6eb0d492c6c0c8d9d,0xbbca22e794b9eaf60a2122abb4fd0d2a719a11f3,false
0x920e8bffcb0d528c4e27e360e6149adf59902ac1,0x9f47b30e4952ce6e3af36da7dcc68f9c5539d085,0x457d75f55739ac8b073374f4917992385ea4f663,false
0xcb45625572253036e3e580702c9ce0343262b381,0x63da1ae4c85b8b4607df8468b716eb2d0d9fb545,0x0c40465f8f724328b1d5d55c31fc3839d21bb4ef,true
0xe1ab57b82f4ba25f8b4421b466e7dd5051b8c79a,0x74c75dcf580571eacac74c386e80f43c307253f8,0x8638cf1dbe6bd25e913dcf8b3e7126216be91a3e,true
0xcb45625572253036e3e580702c9ce0343262b381,0x8da1796af420390678c72ea2a79524c218aa4709,0x0c40465f8f724328b1d5d55c31fc3839d21bb4ef,true
0x0e239db593619bcf6248fdef4723f26cf40e1f37,0xc2db3e3c0ca514c33079812f04734f058ea33d0e,0xdf44622fc41d706d6d3cfe1d22dcf80b170c2ab2,false
0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xe7e0734ea59cfff5781d6de8d6f7a545effb91db,0x454f11d58e27858926d7a4ece8bfea2c33e97b13,false
0xf8b8f6a01e676d592d95d8d356e445d53a5822f2,0x9f1750ad2eddf10f020502c9d15d8f28a9a4771a,0x49518279ada02a0e0609a5b195d4f0ec5ebbca98,true
0xcb56b52316041a62b6b5d0583dce4a8ae7a3c629,0x0ac725fac7ead9e58154ca33f8ed1a1eb371bde9,0xaf25926dc505b2633ac596df516ea7467ae3c981,true
0x31c8eacbffdd875c74b94b077895bd78cf1e64a3,0x3a8027b37cd119cde72c1086ab5d7de912f61b61,0xf2f98cbd5d84640a2c5cfda5c996cd830067bc95,false
0xd291e7a03283640fdc51b121ac401383a46cc623,0xa6102d2cece8df0350fecd2261d2c09074182bc9,0xdc2b82bc1106c9c5286e59344896fb0ceb932f53,true
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xf25b9f70f7e1d9a2968b42de00efda666efb2de3,0x4028daac072e492d34a3afdbef0ba7e35d8b55c4,false
0xdb05ea0877a2622883941b939f0bb11d1ac7c400,0xf5b2d4733e82909927eb4a94622c5b61d9295f90,0xd07d843cd1d769cdf918be8a3c2c0b708889f7fc,true
0x5150956e082c748ca837a5dfa0a7c10ca4697f9c,0x46087ceed975cffc0074c5d4a7e8f1150e7cecf6,0x7fba40ba619f49768eadc7fbcbd749eebb905101,false
0xdd0ef0b2de3efec847a79b4ce4de52c4bb98f488,0x314719bf2fd9b60e0682514e45189716ba654e71,0x4c9a9b87e661dcfc78e541e8bb7b4ba9a7e79293,true
0xba7cc8894db7e03796b66b56d20ee1345d60a3eb,0x35efc9d5693d1fbe547d3bec24d81d0c9c50f59b,0x6dbc7a2663592df46414e5e3d9c8e517dd92682f,false
0x26c8afbbfe1ebaca03c2bb082e69d0476bffe099,0xe6a2eca14d2b1b0a82dd9a407488004939fb5aad,0x9c4cc862f51b1ba90485de3502aa058ca4331f32,false
0x1d038760994b18d0b1c1aef8a5ed2fb26c881f1d,0xb32ab760ef85e7fc8a78c9359f8e88847464784f,0xb4be970816674e9c9bbd4af1b54ffa5d75f924ff,false
0xe5f0644e87f237693a83c6bf66f4d4c23b5c5939,0x8bd7f11e8de927ae00a851bf9dba21689d692ee0,0x22f24852403835aab175601d8632dbcf67fa7c3a,true
0xc0c293ce456ff0ed870add98a0828dd4d2903dbf,0x4be410e2ff6a5f1718ada572afa9e8d26537242b,0x3cfe0301ade738634ce61388f6524cf8c485f46c,true
0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0xe72f726853ab33e966408b8693268e438584f860,0x4c95840bb3ce1d717138b3376473f2c021d7bc64,false
0x05db5cbfcbc58d418d164386e5cc1510c36a73d9,0x52cc0a63f33c454cb7c1f79b6491d67eb1154cca,0x059f81b134e6e890a27ea63e4108d436cfc45d19,false
0x42bbfa2e77757c645eeaad1655e0911a7553efbc,0xa6df9f4dd586e2e2ca5e58a0ba3e2818c17e9a0d,0x3961d865cc738c51ba1d554ce38d45dbafaebdb8,false
0x3a856d4effa670c54585a5d523e96513e148e95d,0x103a061a439cc7fe943e705b54aa25004feae741,0xf3f667b097b271604e47f99015a00625b8fe9a59,false
0x43a96962254855f16b925556f9e97be436a43448,0x09efbea2789d67d724282b0e15afe5b9e48a13be,0xbaa48ef52fe0cf3a2682c1247b18d4274a988132,false
0x4575f41308ec1483f3d399aa9a2826d74da13deb,0x820e5ab3d952901165f858703ae968e5ea67eb31,0x9b533f1ceaa5ceb7e5b8994ef16499e47a66312d,false
0x8c4e7f814d40f8929f9112c5d09016f923d34472,0x586e6636fe041e1b48a0b69273b8c936d1e4a73c,0x4186ce0b588a44560f161cf5b3c33fa4b0bad170,false
0xb7d39fcbda2559a1d91eefc75d0994bbccd47cf3,0x664fe12b02743a85bfde62af0ecd7a5bbdbcfd9e,0x559caf027c7d5816653e99492bb9eab4bb907463,false
0xd2d8d78087d0e43bc4804b6f946674b2ee406b80,0x075f4849d3c2088e5599cecf6ee0fdf8addfd124,0x3cc34a0a5c452056909a93e4b2ac17b03e010666,true
0xfcfc434ee5bff924222e084a8876eee74ea7cfba,0x393cf50f8a8d29c5f5d0cb6001a50f92e97e8f65,0xb9a507f407c4a78026e55ce54de8aedc5d687f0a,true
0xc22b30e4cce6b78aaaadae91e44e73593929a3e9,0x32ecca0fe3a5fa54f4fc64469ff5ef8aec76c12b,0xf744417d0a5fd18b5b18726ce1b48f931dfa32ea,true
0x25bf6b01a686ae7b2425110f5b7188034211440b,0xaaa0d3d2a163a72c483d5098070ee245ec9c9fd9,0x97c58cca2b91c2e99633f7e317888d6267f1a232,false
0x0b452278223d3954f4ac050949d7998e373e7e43,0x0cf449897ab1fef7cf2a7c224562628232f5de09,0x8340a818fe5b80441c4d96424ddf07867299b135,false
